name,val,val_min,val_max
phospho_sigma,1.4218075823626914,1.3580619774544314,1.4876974063703807
sub_bg_phospho_rate,-2.7830178844582214,-2.99803052932636,-2.1619487679576697
kinase_dead,-5.592703786976171,-8.0,-2.3351018088315767
L+A,0.232046039805698,-8.0,2.737302678074069
kinase_wt,0.462992305118329,0.3930656948091616,0.5154514109388671
kinase_non-binding,5.34975527437432,5.13103121849878,5.548334532015251
375,-1.058866782235267,-1.3484866672446916,-0.9566417827478796
419,-0.3834849154312757,-0.5257948324395515,-0.21736022306046457
E+A,3.1168542076988848,-8.0,4.3778113075500835
E+E,4.045567253369909,3.8789518554942415,4.828492910484199
pptase_dead,-2.55225258990566,-8.0,-0.7369713922768273
pptase_wt,0.9058455999548044,0.7492295865583831,1.0526534436553034
pptase_non-binding,5.601548115454239,5.03106387194907,8.0
pptase_weak,-0.3078726195622147,-0.6825844826916034,0.6874996157385678
